time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-02-15 09:30:00-05:00,Trend,a2b861ec06054c629c858007e1dc96ff,GLD,sell,market,fill,1,gtc,0.0,1,stock,185.60000610351562,107.0,0.0
2024-03-01 09:30:00-05:00,Trend,2f812fb9483b42178fbc3bedf397f284,GLD,buy,market,new,1,day,0.0,1,stock,,,
2024-03-01 09:30:00-05:00,Trend,1bb069c7a738428486a9d7f0a2e67286,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-01 09:30:00-05:00,Trend,2f812fb9483b42178fbc3bedf397f284,GLD,buy,market,fill,1,day,0.0,1,stock,190.27000427246094,107.0,0.0
2024-03-01 09:30:00-05:00,Trend,1bb069c7a738428486a9d7f0a2e67286,GLD,buy,market,fill,1,gtc,0.0,1,stock,190.27000427246094,311.0,0.0
2024-05-01 09:30:00-04:00,Trend,1beebc9a81ee4213ae0cb0ce6d5cae04,GLD,sell,market,new,1,day,0.0,1,stock,,,
2024-05-01 09:30:00-04:00,Trend,4f3d4b7841e24543bcbf929e355f18ef,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2024-05-01 09:30:00-04:00,Trend,1beebc9a81ee4213ae0cb0ce6d5cae04,GLD,sell,market,fill,1,day,0.0,1,stock,212.9600067138672,311.0,0.0
2024-05-01 09:30:00-04:00,Trend,4f3d4b7841e24543bcbf929e355f18ef,GLD,sell,market,fill,1,gtc,0.0,1,stock,212.9600067138672,91.0,0.0
2024-05-16 09:30:00-04:00,Trend,2ded303aae814b7487259bb93982bbb3,GLD,buy,market,new,1,day,0.0,1,stock,,,
2024-05-16 09:30:00-04:00,Trend,22edad3e69554ba89dc4f8e1c5f6c772,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2024-05-16 09:30:00-04:00,Trend,2ded303aae814b7487259bb93982bbb3,GLD,buy,market,fill,1,day,0.0,1,stock,220.13999938964844,91.0,0.0
2024-05-16 09:30:00-04:00,Trend,22edad3e69554ba89dc4f8e1c5f6c772,GLD,buy,market,fill,1,gtc,0.0,1,stock,220.13999938964844,282.0,0.0
2024-06-04 09:30:00-04:00,Trend,ade0ea3e50374f5994be7aac14c12de9,GLD,sell,market,new,1,day,0.0,1,stock,,,
2024-06-04 09:30:00-04:00,Trend,7688490d455449198d2a988596cfa86b,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-04 09:30:00-04:00,Trend,ade0ea3e50374f5994be7aac14c12de9,GLD,sell,market,fill,1,day,0.0,1,stock,216.24000549316406,282.0,0.0
2024-06-04 09:30:00-04:00,Trend,7688490d455449198d2a988596cfa86b,GLD,sell,market,fill,1,gtc,0.0,1,stock,216.24000549316406,98.0,0.0
2024-07-08 09:30:00-04:00,Trend,fed2034931b54191a2ef520c4309d1af,GLD,buy,market,new,1,day,0.0,1,stock,,,
2024-07-08 09:30:00-04:00,Trend,690da26a523240e29d5f46826e5f6a2b,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2024-07-08 09:30:00-04:00,Trend,fed2034931b54191a2ef520c4309d1af,GLD,buy,market,fill,1,day,0.0,1,stock,219.63999938964844,98.0,0.0
2024-07-08 09:30:00-04:00,Trend,690da26a523240e29d5f46826e5f6a2b,GLD,buy,market,fill,1,gtc,0.0,1,stock,219.63999938964844,283.0,0.0
2024-08-01 09:30:00-04:00,Trend,525a8132d3864bd7be62745d885069f1,GLD,sell,market,new,1,day,0.0,1,stock,,,
2024-08-01 09:30:00-04:00,Trend,55c8988a8faa450e8c638610f38eca70,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2024-08-01 09:30:00-04:00,Trend,525a8132d3864bd7be62745d885069f1,GLD,sell,market,fill,1,day,0.0,1,stock,226.74000549316406,283.0,0.0
2024-08-01 09:30:00-04:00,Trend,55c8988a8faa450e8c638610f38eca70,GLD,sell,market,fill,1,gtc,0.0,1,stock,226.74000549316406,90.0,0.0
2024-08-12 09:30:00-04:00,Trend,bc2c2c9bce4b4cf1ae7a2e77e750e178,GLD,buy,market,new,1,day,0.0,1,stock,,,
2024-08-12 09:30:00-04:00,Trend,c8c3dcefba5e4b29be50526c3b32dabe,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2024-08-12 09:30:00-04:00,Trend,bc2c2c9bce4b4cf1ae7a2e77e750e178,GLD,buy,market,fill,1,day,0.0,1,stock,226.13999938964844,90.0,0.0
2024-08-12 09:30:00-04:00,Trend,c8c3dcefba5e4b29be50526c3b32dabe,GLD,buy,market,fill,1,gtc,0.0,1,stock,226.13999938964844,277.0,0.0
2024-11-12 09:30:00-05:00,Trend,78c7569684bc4c86a64c1410fef45d4d,GLD,sell,market,new,1,day,0.0,1,stock,,,
2024-11-12 09:30:00-05:00,Trend,f301e6d220ad423193e7df1051ed558a,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2024-11-12 09:30:00-05:00,Trend,78c7569684bc4c86a64c1410fef45d4d,GLD,sell,market,fill,1,day,0.0,1,stock,241.2899932861328,277.0,0.0
2024-11-12 09:30:00-05:00,Trend,f301e6d220ad423193e7df1051ed558a,GLD,sell,market,fill,1,gtc,0.0,1,stock,241.2899932861328,88.0,0.0
