datetime,portfolio_value,cash,positions,return
2023-05-08 09:30:00-04:00,101818.52291870117,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.0
2023-05-09 09:30:00-04:00,101909.71920776367,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",0.0008956748384114643
2023-05-10 09:30:00-04:00,102171.15939331055,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",0.0025654097330389813
2023-05-11 09:30:00-04:00,102007.00143432617,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",-0.0016066956659701592
2023-05-12 09:30:00-04:00,101699.95846557617,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",-0.0030100185715946637
2023-05-13 09:30:00-04:00,101699.95846557617,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",0.0
2023-05-13 09:29:00-04:00,101699.95846557617,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",0.0
2023-05-15 08:30:00-04:00,101660.44161987305,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",-0.0003885630466260448
2023-05-15 09:30:00-04:00,101660.44161987305,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",0.0
2023-05-15 09:30:00-04:00,101660.44161987305,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",0.0
2023-05-16 09:30:00-04:00,101441.5612487793,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",-0.0021530535142880725
2023-05-17 09:30:00-04:00,100751.47994995117,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",-0.006802747220498118
2023-05-18 09:30:00-04:00,100079.64254760742,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",-0.006668263361267579
2023-05-19 09:30:00-04:00,100125.24069213867,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",0.0004556185790687284
2023-05-20 09:30:00-04:00,100125.24069213867,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",0.0
2023-05-20 09:29:00-04:00,100125.24069213867,44721.24069213867,"[{'asset': USD, 'quantity': 44721.24069213867}, {'asset': GLD, 'quantity': 304.0}]",0.0
